row_id,pattern_name,question,citation_index,source_file,input,document_text,document_relevance_execution_details,document_relevance_score,phoenix_document_relevance_score,phoenix_document_relevance_label,phoenix_document_relevance_explanation
2,planner_executor,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,3,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,| Przedłużenie ochrony o 48 godzin | ✓ | ✓ | ✓ | | Opóźnienie lub odwołanie środka transportu | ✓ 1000 zł | ✓ 1000 zł | ✓ 1000 zł | | Przerwanie podróży | ✓ 3000 zł | ✓ 3000 zł | ✓ 10 000 zł | | Dozór,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 10.210421085357666}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'The document_text shows three columns of options for ERGO Podróż (three variants), indicated by three sets of checks (✓) across rows such as Przedłużenie ochrony..., Opóźnienie lub odwołanie..., Przerwanie podróży, etc. This suggests three insurance variants.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"The document_text shows three columns of options for ERGO Podróż (three variants), indicated by three sets of checks (✓) across rows such as Przedłużenie ochrony..., Opóźnienie lub odwołanie..., Przerwanie podróży, etc. This suggests three insurance variants."
2,planner_executor,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,4,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,| **Ubezpieczenie Podróż Assistance** | ✓ | ✓ | ✓ | | **Ubezpieczenie Następstw Nieszczęśliwych Wypadków** | ✓ suma ubezpieczenia 10 000 zł | ✓ suma ubezpieczenia 30 000 zł | ✓ suma ubezpieczenia 60 0,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 8.352212190628052}","{'name': 'document_relevance', 'score': 0.0, 'label': 'unrelated', 'explanation': 'Document text shows two insurance product names and some coverage details but does not provide a clear total count of insurance variants offered by ERGO Podróż; there is no explicit numerical answer in the text.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",0.0,unrelated,Document text shows two insurance product names and some coverage details but does not provide a clear total count of insurance variants offered by ERGO Podróż; there is no explicit numerical answer in the text.
3,planner_executor,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,1,hestia_ergo_podroz.md,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,1. Sumę ubezpieczenia albo sumę gwarancyjną dla każdego rodzaju ubezpieczenia Klient wybiera z dostępnych wariantów. Sumy te stanowią górną granicę odpowiedzialności ERGO Hestii za wszystkie zdarzenia,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 6.583972692489624}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Dokument mówi, że suma ubezpieczenia musi być wybrana spośród dostępnych wariantów i stanowi górną granicę odpowiedzialności. Nie sugeruje możliwości dowolnego ustalania sumy.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Dokument mówi, że suma ubezpieczenia musi być wybrana spośród dostępnych wariantów i stanowi górną granicę odpowiedzialności. Nie sugeruje możliwości dowolnego ustalania sumy."
3,planner_executor,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,2,hestia_ergo_podroz.md,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,Obowiązujące sumy ubezpieczenia i sumy gwarancyjne określa poniższa tabela:   | RODZAJ UBEZPIECZENIA | WARIANT I | WARIANT II | WARIANT III | |:---|:---|:---|:---| | Ubezpieczenie Pomoc Medyczna i Kos,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 10.682989120483398}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Document states that applicable sums are defined by a table, implying that the sum for Kosztów Leczenia is not set arbitrarily but fixed by the table.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Document states that applicable sums are defined by a table, implying that the sum for Kosztów Leczenia is not set arbitrarily but fixed by the table."
3,planner_executor,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,3,hestia_ergo7_podroz.md,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,"* ✓ Suma ubezpieczenia w Wariancie I wynosi 200 000 zł, w Wariancie II – 500 000 zł, a w Wariancie III – 3 000 000 zł.","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 5.940094947814941}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'The document lists fixed insured amounts for different variants (I: 200,000 zł, II: 500,000 zł, III: 3,000,000 zł), indicating the sum is not arbitrarily set.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"The document lists fixed insured amounts for different variants (I: 200,000 zł, II: 500,000 zł, III: 3,000,000 zł), indicating the sum is not arbitrarily set."
3,planner_executor,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,4,hestia_ergo_podroz.md,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,"1) wynagrodzenia rzeczoznawcy, powołanego za pisemną zgodą ERGO Hestii, w celu ustalenia okoliczności wypadku, przyczyn lub rozmiaru szkody, maksymalnie do wysokości 20% sumy gwarancyjnej; 2) działań","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 8.339877128601074}","{'name': 'document_relevance', 'score': 0.0, 'label': 'unrelated', 'explanation': 'Document discusses remuneration of an expert up to 20% of the insured sum; it does not address setting the insured amount for Kosztów Leczenia (Treatment Costs).', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",0.0,unrelated,Document discusses remuneration of an expert up to 20% of the insured sum; it does not address setting the insured amount for Kosztów Leczenia (Treatment Costs).
4,router_specialist,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,1,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,| Przedłużenie ochrony o 48 godzin | ✓ | ✓ | ✓ | | Opóźnienie lub odwołanie środka transportu | ✓ 1000 zł | ✓ 1000 zł | ✓ 1000 zł | | Przerwanie podróży | ✓ 3000 zł | ✓ 3000 zł | ✓ 10 000 zł | | Dozór,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 8.340298891067505}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'The document text shows three variant columns (three sets of checkmarks across rows), suggesting three ERGO Podróż insurance variants.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"The document text shows three variant columns (three sets of checkmarks across rows), suggesting three ERGO Podróż insurance variants."
4,router_specialist,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,2,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,3. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według poniższych wariantów:   | WARIANTY | I | II | III | |:---|:---:|:---:|:---:| | **Osoby objęte ochroną ubezpieczeniową** |  |  |  |,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 6.326296806335449}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': ""Document text lists variants I, II, III under 'WARIANTY', indicating there are three variants; therefore it can answer how many variants ERGO Podróż offers."", 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Document text lists variants I, II, III under 'WARIANTY', indicating there are three variants; therefore it can answer how many variants ERGO Podróż offers."
4,router_specialist,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,3,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,| **Ubezpieczenie Podróż Assistance** | ✓ | ✓ | ✓ | | **Ubezpieczenie Następstw Nieszczęśliwych Wypadków** | ✓ suma ubezpieczenia 10 000 zł | ✓ suma ubezpieczenia 30 000 zł | ✓ suma ubezpieczenia 60 0,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 8.738876819610596}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': ""Document shows a table row for 'Ubezpieczenie Podróż Assistance' with three checkmarks, suggesting three variants of that insurance type; this implies ERGO Podróż offers three variants."", 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Document shows a table row for 'Ubezpieczenie Podróż Assistance' with three checkmarks, suggesting three variants of that insurance type; this implies ERGO Podróż offers three variants."
4,router_specialist,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,4,hestia_ergo_podroz.md,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,| WARIANTY | I | II | III | |:---|:---|:---|:---| | Opóźnienie dostarczenia bagażu | – | ✓ do 500 zł | ✓ do 500 zł | | Pomoc w razie utraty środków płatniczych | – | ✓ | ✓ | | Pomoc w razie utraty dok,"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 6.431929111480713}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'The document text includes a table with variants I, II, and III, indicating three variants of insurance.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"The document text includes a table with variants I, II, and III, indicating three variants of insurance."
5,router_specialist,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,1,hestia_ergo_podroz.md,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują:   | **RODZAJ ŚWIADCZENIA** | **ŚWIADCZENIA** | |:---|:---| | **Pomoc medyczna** | a) leczenie szpitalne i ambulatoryjne;<br>b),"{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 6.35560417175293}","{'name': 'document_relevance', 'score': 0.0, 'label': 'unrelated', 'explanation': 'Dokument_text nie wspomina o kosztach pomocy stomatologicznej ani o kwocie pokrycia w ubezpieczeniu ERGO Podróż; dotyczy wyłącznie leczenia szpitalnego i ambulatoryjnego.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",0.0,unrelated,Dokument_text nie wspomina o kosztach pomocy stomatologicznej ani o kwocie pokrycia w ubezpieczeniu ERGO Podróż; dotyczy wyłącznie leczenia szpitalnego i ambulatoryjnego.
5,router_specialist,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,2,hestia_ergo7_komunikacja.md,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,"Ubezpieczenie Następstw Nieszczęśliwych Wypadków Kierowcy i Pasażerów obejmuje również koszty odbudowy stomatologicznej zębów stałych, pod warunkiem że zostały poniesione do dwóch lat od nieszczęśliwe","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 16.294817209243774}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Ocena zgodności tekstu z pytaniem: dokument wspomina o pokryciu kosztów odbudowy stomatologicznej zębów stałych w ramach ubezpieczenia od NNW kierowcy i pasażerów (pod warunkiem poniesienia w ciągu dwóch lat), co dotyczy pytania o pokrycie kosztów pomocy stomatologicznej. Jednak nie podaje konkretnej kwoty limitu.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Ocena zgodności tekstu z pytaniem: dokument wspomina o pokryciu kosztów odbudowy stomatologicznej zębów stałych w ramach ubezpieczenia od NNW kierowcy i pasażerów (pod warunkiem poniesienia w ciągu dwóch lat), co dotyczy pytania o pokrycie kosztów pomocy stomatologicznej. Jednak nie podaje konkretnej kwoty limitu."
5,router_specialist,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,3,hestia_ergo7_podroz.md,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,"* ✓ Ubezpieczenie obejmuje niezbędną pomoc medyczną po wypadku, w tym leczenie szpitalne, ambulatoryjne, stomatologiczne, konsultacje medyczne oraz całodobową Pomoc Centrum Alarmowego, organizację tra","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 8.596610069274902}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Dokument opisuje zakres ubezpieczenia ERGO Podróż, w tym koszty pomocy stomatologicznej, ale nie podaje konkretnej kwoty pokrycia.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Dokument opisuje zakres ubezpieczenia ERGO Podróż, w tym koszty pomocy stomatologicznej, ale nie podaje konkretnej kwoty pokrycia."
5,router_specialist,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,4,hestia_ergo_podroz.md,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,"Ubezpieczenie obejmuje: * ✓ niezbędną i natychmiastową pomoc w przypadku nagłego zachorowania lub nieszczęśliwego wypadku, np. leczenie szpitalne, ambulatoryjne, stomatologiczne, konsultacje medyczne","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 12.16560411453247}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Dokument zawiera informację, że koszty pomocy stomatologicznej są objęte ubezpieczeniem (stomatologiczne), ale nie podaje kwoty ani limitu.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Dokument zawiera informację, że koszty pomocy stomatologicznej są objęte ubezpieczeniem (stomatologiczne), ale nie podaje kwoty ani limitu."
6,planner_executor,Czy w ERGO Podróże może zostać zawarta umowa grupowa dla 5 osób?,1,hestia_ergo_podroz.md,Czy w ERGO Podróże może zostać zawarta umowa grupowa dla 5 osób?,"1. Umową ubezpieczenia może zostać zawarta w formie grupowej, obejmującej minimum 8 osób, gdzie wszystkie osoby ubezpieczone objęte są tym samym zakresem ochrony ubezpieczeniowej.   2. Z uwagi na okre","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 8.340272903442383}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'Document states that a group insurance contract is possible only for a minimum of 8 people; the question asks about a 5-person group, which cannot meet this minimum. This provides an answer about the 5-person scenario.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"Document states that a group insurance contract is possible only for a minimum of 8 people; the question asks about a 5-person group, which cannot meet this minimum. This provides an answer about the 5-person scenario."
6,planner_executor,Czy w ERGO Podróże może zostać zawarta umowa grupowa dla 5 osób?,2,hestia_ergo_podroz.md,Czy w ERGO Podróże może zostać zawarta umowa grupowa dla 5 osób?,"1. Umowa ubezpieczenia może zostać zawarta w formie imiennej, rozumianej jako umowa ubezpieczenia dla przynajmniej jednej osoby ubezpieczonej, w której ramach każda osoba może mieć różny zakres ochron","{'status': 'COMPLETED', 'exceptions': [], 'execution_seconds': 14.317734956741333}","{'name': 'document_relevance', 'score': 1.0, 'label': 'relevant', 'explanation': 'The document states that an insurance contract can be concluded in the form of a named contract for at least one insured person, and that within such a contract each person may have a different scope of protection, which implies multiple insureds can be covered under one contract. This information could answer whether a group contract for 5 people is possible.', 'metadata': {'model': 'gpt-5', 'trace_id': 'd5de18d81a16b19b6e5b09ac2ba658e8'}, 'kind': 'llm', 'direction': 'maximize'}",1.0,relevant,"The document states that an insurance contract can be concluded in the form of a named contract for at least one insured person, and that within such a contract each person may have a different scope of protection, which implies multiple insureds can be covered under one contract. This information could answer whether a group contract for 5 people is possible."
